"","NEGERI","variable","value","daily","Month","Year"
"123","MELAKA","Minggu.19.2",7,2012-05-11,2012-05-01,2012-01-01
"124","MELAKA","Minggu.20.2",9,2012-05-18,2012-05-01,2012-01-01
"125","MELAKA","Minggu.21.2",6,2012-05-25,2012-05-01,2012-01-01
"126","MELAKA","Minggu.22.2",6,2012-06-01,2012-06-01,2012-01-01
"127","MELAKA","Minggu.23.2",5,2012-06-08,2012-06-01,2012-01-01
"128","MELAKA","Minggu.24.2",4,2012-06-15,2012-06-01,2012-01-01
"129","MELAKA","Minggu.25.2",8,2012-06-22,2012-06-01,2012-01-01
"130","MELAKA","Minggu.26.2",5,2012-06-29,2012-06-01,2012-01-01
"131","MELAKA","Minggu.27.2",5,2012-07-06,2012-07-01,2012-01-01
"132","MELAKA","Minggu.28.2",9,2012-07-13,2012-07-01,2012-01-01
"133","MELAKA","Minggu.29.2",6,2012-07-20,2012-07-01,2012-01-01
"134","MELAKA","Minggu.30.2",7,2012-07-27,2012-07-01,2012-01-01
"135","MELAKA","Minggu.31..2",13,2012-08-03,2012-08-01,2012-01-01
"136","MELAKA","Minggu.32.2",4,2012-08-10,2012-08-01,2012-01-01
"137","MELAKA","Minggu.33.2",3,2012-08-17,2012-08-01,2012-01-01
"138","MELAKA","Minggu.34.2",5,2012-08-24,2012-08-01,2012-01-01
"139","MELAKA","Minggu.35.2",2,2012-08-31,2012-08-01,2012-01-01
"140","MELAKA","Minggu.36.2",4,2012-09-07,2012-09-01,2012-01-01
"141","MELAKA","Minggu.37.2",4,2012-09-14,2012-09-01,2012-01-01
"142","MELAKA","Minggu.38.2",6,2012-09-21,2012-09-01,2012-01-01
"143","MELAKA","Minggu.39.2",8,2012-09-28,2012-09-01,2012-01-01
"144","MELAKA","Minggu.40.2",6,2012-10-05,2012-10-01,2012-01-01
"145","MELAKA","Minggu.41.2",6,2012-10-12,2012-10-01,2012-01-01
"146","MELAKA","Minggu.42.2",2,2012-10-19,2012-10-01,2012-01-01
"147","MELAKA","Minggu.43.2",4,2012-10-26,2012-10-01,2012-01-01
"148","MELAKA","Minggu.44.2",4,2012-11-02,2012-11-01,2012-01-01
"149","MELAKA","Minggu.45.2",6,2012-11-09,2012-11-01,2012-01-01
"150","MELAKA","Minggu.46.2",6,2012-11-16,2012-11-01,2012-01-01
"151","MELAKA","Minggu.47.2",7,2012-11-23,2012-11-01,2012-01-01
"152","MELAKA","Minggu.48.2",8,2012-11-30,2012-11-01,2012-01-01
"153","MELAKA","Minggu.49.2",9,2012-12-07,2012-12-01,2012-01-01
"154","MELAKA","Minggu.50.2",8,2012-12-14,2012-12-01,2012-01-01
"155","MELAKA","Minggu.51.2",4,2012-12-21,2012-12-01,2012-01-01
"156","MELAKA","Minggu.52.2",5,2012-12-28,2012-12-01,2012-01-01
"157","MELAKA","Minggu.1.3",7,2013-01-04,2013-01-01,2013-01-01
"158","MELAKA","Minggu.2.3",10,2013-01-11,2013-01-01,2013-01-01
"159","MELAKA","Minggu.3.3",10,2013-01-18,2013-01-01,2013-01-01
"160","MELAKA","Minggu.4.3",10,2013-01-25,2013-01-01,2013-01-01
"161","MELAKA","Minggu.5.3",11,2013-02-01,2013-02-01,2013-01-01
"162","MELAKA","Minggu.6.3",12,2013-02-08,2013-02-01,2013-01-01
"163","MELAKA","Minggu.7.3",7,2013-02-15,2013-02-01,2013-01-01
"164","MELAKA","Minggu.8.3",7,2013-02-22,2013-02-01,2013-01-01
"165","MELAKA","Minggu.9.3",11,2013-03-01,2013-03-01,2013-01-01
"166","MELAKA","Minggu.10.3",11,2013-03-08,2013-03-01,2013-01-01
"167","MELAKA","Minggu.11.3",14,2013-03-15,2013-03-01,2013-01-01
"168","MELAKA","Minggu.12.3",8,2013-03-22,2013-03-01,2013-01-01
"169","MELAKA","Minggu.13.3",10,2013-03-29,2013-03-01,2013-01-01
"170","MELAKA","Minggu.14.3",4,2013-04-05,2013-04-01,2013-01-01
"171","MELAKA","Minggu.15.3",11,2013-04-12,2013-04-01,2013-01-01
"172","MELAKA","Minggu.16.3",5,2013-04-19,2013-04-01,2013-01-01
"173","MELAKA","Minggu.17.3",8,2013-04-26,2013-04-01,2013-01-01
"174","MELAKA","Minggu.18.3",5,2013-05-03,2013-05-01,2013-01-01
"175","MELAKA","Minggu.19.3",7,2013-05-10,2013-05-01,2013-01-01
"176","MELAKA","Minggu.20.3",8,2013-05-17,2013-05-01,2013-01-01
"177","MELAKA","Minggu.21.3",11,2013-05-24,2013-05-01,2013-01-01
"178","MELAKA","Minggu.22.3",3,2013-05-31,2013-05-01,2013-01-01
"179","MELAKA","Minggu.23.3",9,2013-06-07,2013-06-01,2013-01-01
"180","MELAKA","Minggu.24.3",10,2013-06-14,2013-06-01,2013-01-01
"181","MELAKA","Minggu.25.3",11,2013-06-21,2013-06-01,2013-01-01
"182","MELAKA","Minggu.26.3",21,2013-06-28,2013-06-01,2013-01-01
"183","MELAKA","Minggu.27.3",15,2013-07-05,2013-07-01,2013-01-01
"184","MELAKA","Minggu.28.3",6,2013-07-12,2013-07-01,2013-01-01
"185","MELAKA","Minggu.29.3",19,2013-07-19,2013-07-01,2013-01-01
"186","MELAKA","Minggu.30.3",17,2013-07-26,2013-07-01,2013-01-01
"187","MELAKA","Minggu.31..3",14,2013-08-02,2013-08-01,2013-01-01
"188","MELAKA","Minggu.32.3",9,2013-08-09,2013-08-01,2013-01-01
"189","MELAKA","Minggu.33.3",18,2013-08-16,2013-08-01,2013-01-01
"190","MELAKA","Minggu.34.3",33,2013-08-23,2013-08-01,2013-01-01
"191","MELAKA","Minggu.35.3",39,2013-08-30,2013-08-01,2013-01-01
"192","MELAKA","Minggu.36.3",39,2013-09-06,2013-09-01,2013-01-01
"193","MELAKA","Minggu.37.3",59,2013-09-13,2013-09-01,2013-01-01
"194","MELAKA","Minggu.38.3",61,2013-09-20,2013-09-01,2013-01-01
"195","MELAKA","Minggu.39.3",65,2013-09-27,2013-09-01,2013-01-01
"196","MELAKA","Minggu.40.3",NA,2013-10-04,2013-10-01,2013-01-01
"197","MELAKA","Minggu.41.3",NA,2013-10-11,2013-10-01,2013-01-01
"198","MELAKA","Minggu.42.3",92,2013-10-18,2013-10-01,2013-01-01
"199","MELAKA","Minggu.43.3",71,2013-10-25,2013-10-01,2013-01-01
"200","MELAKA","Minggu.44.3",65,2013-11-01,2013-11-01,2013-01-01
"201","MELAKA","Minggu.45.3",55,2013-11-08,2013-11-01,2013-01-01
"202","MELAKA","Minggu.46.3",51,2013-11-15,2013-11-01,2013-01-01
"203","MELAKA","Minggu.47.3",75,2013-11-22,2013-11-01,2013-01-01
"204","MELAKA","Minggu.48.3",75,2013-11-29,2013-11-01,2013-01-01
"205","MELAKA","Minggu.49.3",53,2013-12-06,2013-12-01,2013-01-01
"206","MELAKA","Minggu.50.3",62,2013-12-13,2013-12-01,2013-01-01
"207","MELAKA","Minggu.51.3",75,2013-12-20,2013-12-01,2013-01-01
"208","MELAKA","Minggu.52.3",44,2013-12-27,2013-12-01,2013-01-01
"209","MELAKA","Minggu.1.4",36,2014-01-03,2014-01-01,2014-01-01
"210","MELAKA","Minggu.2.4",67,2014-01-10,2014-01-01,2014-01-01
"211","MELAKA","Minggu.3.4",105,2014-01-17,2014-01-01,2014-01-01
"212","MELAKA","Minggu.4.4",77,2014-01-24,2014-01-01,2014-01-01
"213","MELAKA","Minggu.5.4",NA,2014-01-31,2014-01-01,2014-01-01
"214","MELAKA","Minggu.6.4",72,2014-02-07,2014-02-01,2014-01-01
"215","MELAKA","Minggu.7.4",82,2014-02-14,2014-02-01,2014-01-01
"216","MELAKA","Minggu.8.4",89,2014-02-21,2014-02-01,2014-01-01
"217","MELAKA","Minggu.9.4",64,2014-02-28,2014-02-01,2014-01-01
"218","MELAKA","Minggu.10.4",48,2014-03-07,2014-03-01,2014-01-01
"219","MELAKA","Minggu.11.4",49,2014-03-14,2014-03-01,2014-01-01
"220","MELAKA","Minggu.12.4",39,2014-03-21,2014-03-01,2014-01-01
"221","MELAKA","Minggu.13.4",NA,2014-03-28,2014-03-01,2014-01-01
"222","MELAKA","Minggu.14.4",NA,2014-04-04,2014-04-01,2014-01-01
"223","MELAKA","Minggu.15.4",24,2014-04-11,2014-04-01,2014-01-01
"224","MELAKA","Minggu.16.4",23,2014-04-18,2014-04-01,2014-01-01
"225","MELAKA","Minggu.17.4",18,2014-04-25,2014-04-01,2014-01-01
