"","NEGERI","variable","value"
"346","PERLIS","Week 24",6.8
"347","KEDAH","Week 24",19.4
"348","PULAU PINANG","Week 24",24.2
"349","PERAK","Week 24",44.2
"350","SELANGOR","Week 24",401.6
"351","WPKL/PUTRAJAYA","Week 24",63
"352","N.SEMBILAN","Week 24",41.6
"353","MELAKA","Week 24",14.8
"354","JOHOR","Week 24",73
"355","PAHANG","Week 24",21
"356","TERENGGANU","Week 24",11.4
"357","KELANTAN","Week 24",34.4
"358","SARAWAK","Week 24",29.2
"359","SABAH","Week 24",24.2
"360","LABUAN","Week 24",0.4
"361","PERLIS","Week 25",5.8
"362","KEDAH","Week 25",26.8
"363","PULAU PINANG","Week 25",27.8
"364","PERAK","Week 25",57.2
"365","SELANGOR","Week 25",403.6
"366","WPKL/PUTRAJAYA","Week 25",71.4
"367","N.SEMBILAN","Week 25",41
"368","MELAKA","Week 25",21.8
"369","JOHOR","Week 25",73.2
"370","PAHANG","Week 25",24
"371","TERENGGANU","Week 25",13.4
"372","KELANTAN","Week 25",56
"373","SARAWAK","Week 25",33
"374","SABAH","Week 25",26.8
"375","LABUAN","Week 25",0.2
"376","PERLIS","Week 26",6.5
"377","KEDAH","Week 26",17.5
"378","PULAU PINANG","Week 26",25
"379","PERAK","Week 26",41
"380","SELANGOR","Week 26",257.25
"381","WPKL/PUTRAJAYA","Week 26",54
"382","N.SEMBILAN","Week 26",17.5
"383","MELAKA","Week 26",15
"384","JOHOR","Week 26",78.25
"385","PAHANG","Week 26",21.5
"386","TERENGGANU","Week 26",11.25
"387","KELANTAN","Week 26",34.25
"388","SARAWAK","Week 26",29.75
"389","SABAH","Week 26",26.5
"390","LABUAN","Week 26",0.75
"391","PERLIS","Week 27",4.75
"392","KEDAH","Week 27",16.25
"393","PULAU PINANG","Week 27",25.5
"394","PERAK","Week 27",38.5
"395","SELANGOR","Week 27",249
"396","WPKL/PUTRAJAYA","Week 27",50.5
"397","N.SEMBILAN","Week 27",21
"398","MELAKA","Week 27",11.75
"399","JOHOR","Week 27",73.5
"400","PAHANG","Week 27",17.25
"401","TERENGGANU","Week 27",11.75
"402","KELANTAN","Week 27",33.5
"403","SARAWAK","Week 27",52.25
"404","SABAH","Week 27",18.75
"405","LABUAN","Week 27",0.25
"406","PERLIS","Week 28",3.5
"407","KEDAH","Week 28",16.5
"408","PULAU PINANG","Week 28",29.75
"409","PERAK","Week 28",29.25
"410","SELANGOR","Week 28",236.25
"411","WPKL/PUTRAJAYA","Week 28",47
"412","N.SEMBILAN","Week 28",18.25
"413","MELAKA","Week 28",12
"414","JOHOR","Week 28",74
"415","PAHANG","Week 28",17.75
"416","TERENGGANU","Week 28",14.25
"417","KELANTAN","Week 28",37.75
"418","SARAWAK","Week 28",49.75
"419","SABAH","Week 28",21.25
"420","LABUAN","Week 28",0
"421","PERLIS","Week 29",5.5
"422","KEDAH","Week 29",15.75
"423","PULAU PINANG","Week 29",34.75
"424","PERAK","Week 29",42.75
"425","SELANGOR","Week 29",207.5
"426","WPKL/PUTRAJAYA","Week 29",43.25
"427","N.SEMBILAN","Week 29",16.25
"428","MELAKA","Week 29",12.5
"429","JOHOR","Week 29",71.5
"430","PAHANG","Week 29",20.75
"431","TERENGGANU","Week 29",13.25
"432","KELANTAN","Week 29",50.5
"433","SARAWAK","Week 29",46.75
"434","SABAH","Week 29",19.25
"435","LABUAN","Week 29",0.25
"436","PERLIS","Week 30",5
"437","KEDAH","Week 30",18.5
"438","PULAU PINANG","Week 30",25
"439","PERAK","Week 30",36.75
"440","SELANGOR","Week 30",225
"441","WPKL/PUTRAJAYA","Week 30",44
"442","N.SEMBILAN","Week 30",13
"443","MELAKA","Week 30",12
"444","JOHOR","Week 30",65.25
"445","PAHANG","Week 30",22.25
"446","TERENGGANU","Week 30",12.75
"447","KELANTAN","Week 30",62
"448","SARAWAK","Week 30",46
"449","SABAH","Week 30",23.75
"450","LABUAN","Week 30",0.75
"451","PERLIS","Week 31",5.8
"452","KEDAH","Week 31",11.6
"453","PULAU PINANG","Week 31",28.6
"454","PERAK","Week 31",44.4
"455","SELANGOR","Week 31",307
"456","WPKL/PUTRAJAYA","Week 31",57
"457","N.SEMBILAN","Week 31",30.4
"458","MELAKA","Week 31",27
"459","JOHOR","Week 31",70.8
"460","PAHANG","Week 31",18.6
"461","TERENGGANU","Week 31",18.2
"462","KELANTAN","Week 31",159.2
"463","SARAWAK","Week 31",37.4
"464","SABAH","Week 31",61.4
"465","LABUAN","Week 31",0.6
"466","PERLIS","Week 32",2.8
"467","KEDAH","Week 32",17.6
"468","PULAU PINANG","Week 32",31.4
"469","PERAK","Week 32",47.6
"470","SELANGOR","Week 32",368
"471","WPKL/PUTRAJAYA","Week 32",64.6
"472","N.SEMBILAN","Week 32",25.2
"473","MELAKA","Week 32",30.8
"474","JOHOR","Week 32",66.4
"475","PAHANG","Week 32",23.4
"476","TERENGGANU","Week 32",25
"477","KELANTAN","Week 32",274.6
"478","SARAWAK","Week 32",43.4
"479","SABAH","Week 32",19.6
"480","LABUAN","Week 32",0.4
"481","PERLIS","Week 33",3.6
"482","KEDAH","Week 33",18.4
"483","PULAU PINANG","Week 33",29.6
"484","PERAK","Week 33",47.6
"485","SELANGOR","Week 33",373.4
"486","WPKL/PUTRAJAYA","Week 33",61.2
"487","N.SEMBILAN","Week 33",20.6
"488","MELAKA","Week 33",35.8
"489","JOHOR","Week 33",76.6
"490","PAHANG","Week 33",26
"491","TERENGGANU","Week 33",31.2
"492","KELANTAN","Week 33",320
"493","SARAWAK","Week 33",44.2
"494","SABAH","Week 33",18
"495","LABUAN","Week 33",0
"496","PERLIS","Week 34",5.6
"497","KEDAH","Week 34",16.8
"498","PULAU PINANG","Week 34",33.8
"499","PERAK","Week 34",41
"500","SELANGOR","Week 34",344
"501","WPKL/PUTRAJAYA","Week 34",51
"502","N.SEMBILAN","Week 34",21.6
"503","MELAKA","Week 34",35.6
"504","JOHOR","Week 34",85.2
"505","PAHANG","Week 34",22.8
"506","TERENGGANU","Week 34",32.4
"507","KELANTAN","Week 34",323.6
"508","SARAWAK","Week 34",42.8
"509","SABAH","Week 34",22.6
"510","LABUAN","Week 34",0.2
"511","PERLIS","Week 35",3.4
"512","KEDAH","Week 35",12.6
"513","PULAU PINANG","Week 35",35.2
"514","PERAK","Week 35",47.4
"515","SELANGOR","Week 35",343.2
"516","WPKL/PUTRAJAYA","Week 35",49.6
"517","N.SEMBILAN","Week 35",13.8
"518","MELAKA","Week 35",29.4
"519","JOHOR","Week 35",88.8
"520","PAHANG","Week 35",22.2
"521","TERENGGANU","Week 35",29.2
"522","KELANTAN","Week 35",269.6
"523","SARAWAK","Week 35",32.6
"524","SABAH","Week 35",20.6
"525","LABUAN","Week 35",0
"526","PERLIS","Week 36",3.8
"527","KEDAH","Week 36",11.4
"528","PULAU PINANG","Week 36",31.8
"529","PERAK","Week 36",44.2
"530","SELANGOR","Week 36",312
"531","WPKL/PUTRAJAYA","Week 36",47
"532","N.SEMBILAN","Week 36",18.4
"533","MELAKA","Week 36",25
"534","JOHOR","Week 36",77.2
"535","PAHANG","Week 36",19
"536","TERENGGANU","Week 36",31
"537","KELANTAN","Week 36",224.2
"538","SARAWAK","Week 36",34
"539","SABAH","Week 36",20.2
"540","LABUAN","Week 36",0.2
"541","PERLIS","Week 37",5.4
"542","KEDAH","Week 37",10.6
"543","PULAU PINANG","Week 37",40.8
"544","PERAK","Week 37",53.4
"545","SELANGOR","Week 37",316.4
"546","WPKL/PUTRAJAYA","Week 37",52.4
"547","N.SEMBILAN","Week 37",20
"548","MELAKA","Week 37",34.6
"549","JOHOR","Week 37",74.6
"550","PAHANG","Week 37",27.2
"551","TERENGGANU","Week 37",32.4
"552","KELANTAN","Week 37",192.8
"553","SARAWAK","Week 37",33.6
"554","SABAH","Week 37",20.8
"555","LABUAN","Week 37",0
"556","PERLIS","Week 38",5.4
"557","KEDAH","Week 38",13
"558","PULAU PINANG","Week 38",30.6
"559","PERAK","Week 38",45.8
"560","SELANGOR","Week 38",332.6
"561","WPKL/PUTRAJAYA","Week 38",49.4
"562","N.SEMBILAN","Week 38",17.6
"563","MELAKA","Week 38",37.8
"564","JOHOR","Week 38",79.6
"565","PAHANG","Week 38",28
"566","TERENGGANU","Week 38",28.2
"567","KELANTAN","Week 38",146.2
"568","SARAWAK","Week 38",34.6
"569","SABAH","Week 38",16.2
"570","LABUAN","Week 38",0
"571","PERLIS","Week 39",2.8
"572","KEDAH","Week 39",9.8
"573","PULAU PINANG","Week 39",36
"574","PERAK","Week 39",55
"575","SELANGOR","Week 39",435.6
"576","WPKL/PUTRAJAYA","Week 39",64
"577","N.SEMBILAN","Week 39",24
"578","MELAKA","Week 39",43.6
"579","JOHOR","Week 39",81.8
"580","PAHANG","Week 39",30.6
"581","TERENGGANU","Week 39",35.6
"582","KELANTAN","Week 39",123
"583","SARAWAK","Week 39",49.6
"584","SABAH","Week 39",20
"585","LABUAN","Week 39",0
"586","PERLIS","Week 40",3.25
"587","KEDAH","Week 40",13.25
"588","PULAU PINANG","Week 40",35.25
"589","PERAK","Week 40",61.5
"590","SELANGOR","Week 40",351
"591","WPKL/PUTRAJAYA","Week 40",57.75
"592","N.SEMBILAN","Week 40",21.5
"593","MELAKA","Week 40",32.75
"594","JOHOR","Week 40",84
"595","PAHANG","Week 40",29.5
"596","TERENGGANU","Week 40",47.75
